DATE,GDP
1993-01-01,6858.5585000000000000
1994-01-01,7287.2365000000000000
1995-01-01,7639.7492500000000000
1996-01-01,8073.1217500000000000
1997-01-01,8577.5525000000000000
1998-01-01,9062.8167500000000000
1999-01-01,9631.1717500000000000
2000-01-01,10250.9520000000000000
2001-01-01,10581.9290000000000000
2002-01-01,10929.1082500000000000
2003-01-01,11456.4495000000000000
2004-01-01,12217.1957500000000000
2005-01-01,13039.197000000000
2006-01-01,13815.583000000000
2007-01-01,14474.227000000000
2008-01-01,14769.861500000000
2009-01-01,14478.066750000000
2010-01-01,15048.970000000000
2011-01-01,15599.731750000000
2012-01-01,16253.970000000000
2013-01-01,16843.195750000000
2014-01-01,17550.687750000000
2015-01-01,18206.023500000000
2016-01-01,18695.105750000000
2017-01-01,19477.336500000000
2018-01-01,20533.057500000000
2019-01-01,21380.976000000000
2020-01-01,21060.474250000000
